Name,Latitude,Longitude,Platform / Entrance,Collected By,Collected On,Line,Step free,
Acton Town,51.5025,-0.278126,Platform,User:Gagravarr,24/11/06,"District, Piccadilly",,
Acton Central,51.50883531,-0.263033174,Entrance,User:Firefishy,08/05/07,London Overground,,
Acton Central,51.50856013,-0.262879534,Platform,User:Firefishy,08/05/07,London Overground,,
Aldgate,51.51394,-0.07537,Aldgate High Street entrance,User:Morwen,28/04/07,Metropolitan,No,
Aldgate East,51.51514,-0.07178,Entrance,User:Parsingphase,-2006,"District, Hammersmith & City",,
Alperton,51.54097,-0.30061,Platform,User:Mattwestcott,28/01/07,Piccadilly,,
Amersham,51.67435,-0.60732,Entrance,User:Kake,2007-03-06,Metropolitan,No (although plans are underway to change this),
Angel,51.53253,-0.10579,Entrance,User:Kake,2007-04-14,Northern,No (Escalators),
Archway,51.56536,-0.13474,Junction Road entrance,User:Kake,2007-04-24,Northern,,
Arnos Grove,51.61625,-0.13355,Entrance,User:Kake,2007-04-24,Piccadilly,,
Arsenal,51.55847,-0.10561,outside Gillespie Road exit, the platforms are a long walk west in tunnel,User:Morwen,05/05/07,Piccadilly,
Baker Street,51.52265,-0.15704,Circle/Hammersmith & City Entrance (probably),User:Steve,11/02/06,"Circle, Hammersmith & City",No,
Baker Street,51.522236,-0.15708,Bakerloo/Jubilee Entrance,User:Gagravarr,24/11/06,"Bakerloo, Jubilee",No,
Balham,51.44344113,-0.152945844,Entrance,User:Firefishy,07/05/07,Northern,No,
Bank,51.5134047,-0.08905843,Entrance,User:Gagravarr,10/10/06,"Central, Waterloo & City",,
Barbican,51.520865,-0.097758,Entrance,User:Gagravarr,06/04/07,"Circle, Hammersmith & City, Metropolitan",No,
Barking,51.54079,0.08018,platforms,User:Morwen,21/04/07,"District, Hammersmith & City",,
Barkingside,51.58543,0.08854,platforms,User:Morwen,21/04/07,Central,,
Barons Court,51.490281,-0.21434,Platform,User:Gagravarr,24/11/06,"Piccadilly, District",,
Bayswater,51.51224,-0.187569,Entrance,User:Gagravarr,14/05/07,"Circle, District",,
Becontree,51.54029,0.1262,platforms,User:Morwen,21/04/07,District,,
Belsize Park,51.55036,-0.16465,Entrance,User:Mattwestcott,06/05/07,Northern,,
Bermondsey,51.49813,-0.0635,Entrance,User:Kake,2007-03-02,Jubilee,,
Bethnal Green,51.52718,-0.05504,tube station entrance,User:Morwen,2007-05-12,Central,No,
Blackfriars,51.5114403,-0.1041905,Entrance,User:Gagravarr,30/10/06,"Circle, District",,
Blackhorse Road,51.58698,-0.04104,Entrance Hall,User:Firefishy,15/08/07,Victoria,,
Bond Street,51.51461,-0.14897,Entrance,User:Mattwestcott,16/02/07,"Central, Jubilee",No,
Borough,51.50095,-0.09446,Entrance,User:Mattwestcott,31/07/07,Northern,,
Boston Manor,51.495371,-0.325573,Platform,User:Gagravarr,24/11/06,Piccadilly,,
Bounds Green,51.607,-0.12418,Entrance,User:Kake,2007-04-24,Piccadilly,,
Bow Road,51.52709,-0.02482,Entrance,User:Morwen,2007-05-13,"District, Hammersmith & City",,
Brent Cross,51.57693,-0.21414,Platform,User:Mattwestcott,06/05/07,Northern,,
Brixton,51.46239,-0.115421,Entrance,User:Parsingphase,-2006,Victoria,,
Bromley-by-Bow,51.52466,-0.01282,platforms,User:Morwen,21/04/07,"District, Hammersmith & City",,
Brondesbury,51.54505,-0.20297,London Overground platforms,User:Morwen,05/05/07,London Overground,,
Brondesbury Park,51.5406,-0.21093,London Overground platforms,User:Morwen,05/05/07,London Overground,,
Buckhurst Hill,51.62611,0.04705,platforms,User:Morwen,21/04/07,Central,,
Burnt Oak,51.603,-0.26427,Platform,User:Mattwestcott,06/05/07,Northern,,
Caledonian Road,51.5485,-0.11802,outside Caledonian Road exit,User:Morwen,05/05/07,Piccadilly,,
